Time_s,LeftRight_deg,Vertical_deg
1.994831,2.830496,3.987594
2.494510,16.079467,3.802966
2.994188,13.327404,7.702240
3.493867,19.743212,10.712694
3.993545,10.183672,8.130608
4.493223,15.492160,8.742921
4.992902,7.202949,8.080020
5.492580,3.050224,5.925425
5.992258,14.906663,24.557182
6.491936,9.727060,14.219434
6.991614,8.578902,21.191749
7.491292,8.720009,21.762200
7.990968,26.080993,14.572019
8.490646,9.120289,21.196093
8.990324,3.655441,25.577614
9.490001,10.468889,19.254470
9.989680,17.531952,2.640636
10.489357,7.388137,21.139170
10.989035,7.388137,2.993709
11.488712,28.618892,23.739103
11.988389,15.365037,3.255071
12.488066,15.365037,2.878847
13.487420,6.700427,2.878847
13.987098,8.923805,20.047771
14.486775,8.923805,42.506804
14.986452,8.923805,95.680130
15.486129,27.124533,19.175434
15.985806,27.124533,2.919603
16.485483,35.447506,22.676391
16.985160,10.548808,8.466570
17.484837,10.548808,9.811239
17.984514,24.580074,14.014485
18.484190,24.580074,14.014485
18.983867,34.534161,22.038475
19.483544,34.534161,14.760869
19.983220,34.534161,14.625122
20.482897,34.534161,14.663905
20.982573,34.534161,14.657209
21.482250,34.534161,14.585069
21.981926,34.534161,14.626341
22.481603,34.534161,14.625495
22.981279,34.534161,14.701097
23.480955,34.534161,14.683361
23.980631,34.534161,5.580767
24.480308,34.534161,5.580767
24.979984,5.113693,5.580767
25.479660,5.113693,5.580767
26.479013,15.844509,5.580767
26.978688,7.616433,7.393123
27.478364,3.653026,8.784592
27.978040,3.653026,62.010587
28.477716,3.653026,1.509493
28.977391,1.076459,1.509493
29.477067,6.562629,1.509493
29.976744,6.510099,13.579445
30.476420,4.583039,13.102591
30.976096,2.511173,13.814340
31.475772,2.531672,13.882328
31.975448,2.387450,13.864873
32.475124,2.394188,13.793016
32.974800,4.521393,14.725933
33.474477,50.195780,18.189772
33.974153,52.331148,7.792304
34.473829,50.918584,6.391075
34.973505,50.918584,14.706273
35.473180,1.012101,14.161873
35.972856,1.069742,14.110972
36.472532,1.120406,14.112372
36.972208,1.138195,14.116335
37.471884,1.165058,14.078841
37.971560,1.126872,13.988697
38.471236,1.160056,14.095426
38.970912,1.071949,14.097747
39.470589,1.061582,14.003840
39.970265,1.061582,14.205113
40.969618,1.061582,14.205113
41.469294,1.061582,14.205113
41.968970,1.061582,14.205113
42.468646,1.061582,14.205113
42.968322,1.061582,14.205113
43.467998,1.061582,14.205113
43.967675,1.061582,14.205113
44.467350,1.061582,14.205113
44.967025,1.061582,14.205113
45.466700,1.061582,14.205113
45.966375,1.061582,14.205113
46.466050,1.061582,14.205113
46.965724,1.061582,14.205113
47.465399,1.061582,14.205113
47.965074,1.061582,14.205113
48.464749,1.061582,14.205113
48.964422,1.061582,14.205113
49.464096,1.061582,14.205113
49.963771,1.061582,14.205113
50.463446,9.415074,14.205113
50.963120,9.415074,14.205113
51.462793,9.415074,14.205113
51.962467,9.415074,14.205113
52.462141,9.415074,14.205113
52.961815,9.415074,14.205113
53.461488,9.415074,14.205113
53.961161,9.415074,14.205113
54.460835,5.204188,3.363984
55.460181,5.204188,3.363984
55.959854,4.272022,3.363984
56.459527,4.272022,3.363984
56.959200,4.272022,3.363984
57.458873,4.272022,3.363984
57.958544,4.272022,3.363984
58.458217,4.272022,3.363984
58.957891,4.272022,3.363984
59.457563,4.272022,3.363984
59.957235,4.272022,3.363984
60.456907,4.272022,3.363984
60.956579,4.272022,3.363984
61.456251,4.272022,3.363984
61.955923,4.272022,3.363984
62.455595,4.272022,3.363984
62.955267,4.272022,3.363984
63.454938,4.272022,3.363984
63.954610,4.272022,3.363984
64.454281,4.272022,3.363984
64.953952,4.272022,3.363984
65.453623,4.272022,3.363984
65.953294,4.272022,3.363984
66.452965,4.272022,3.363984
66.952636,4.272022,3.363984
67.452306,4.272022,3.363984
67.951977,4.272022,3.363984
68.451647,4.272022,3.363984
69.450988,4.272022,3.363984
